concentration,gene_exp,cell_line,group
0,5.51,wild,placebo
1,6.41,wild,placebo
2,5.71,wild,placebo
3,7.94,wild,placebo
4,6.87,wild,placebo
5,7.29,wild,placebo
6,10.04,wild,placebo
7,8.85,wild,placebo
8,8.91,wild,placebo
9,9.68,wild,placebo
10,11.43,wild,placebo
0,4.47,wild,placebo
1,5.12,wild,placebo
2,4.79,wild,placebo
3,5.86,wild,placebo
4,4.3,wild,placebo
5,5.82,wild,placebo
6,9.94,wild,placebo
7,9.02,wild,placebo
8,8.23,wild,placebo
9,8.37,wild,placebo
10,10.47,wild,placebo
0,9.1,wild,treatment
1,11.88,wild,treatment
2,15.21,wild,treatment
3,18.41,wild,treatment
4,23.81,wild,treatment
5,25.1,wild,treatment
6,28.75,wild,treatment
7,30.99,wild,treatment
8,36.33,wild,treatment
9,36,wild,treatment
10,41.7,wild,treatment
0,9.69,wild,treatment
1,12.82,wild,treatment
2,14.78,wild,treatment
3,18.27,wild,treatment
4,21.24,wild,treatment
5,NA,wild,treatment
6,24.25,wild,treatment
7,29.11,wild,treatment
8,32.79,wild,treatment
9,32.69,wild,treatment
10,36.38,wild,treatment
0,5.35,cell101,placebo
1,4.01,cell101,placebo
2,8.53,cell101,placebo
3,9.9,cell101,placebo
4,11.66,cell101,placebo
5,10.7,cell101,placebo
6,13.65,cell101,placebo
7,15.98,cell101,placebo
8,16.74,cell101,placebo
9,18.44,cell101,placebo
10,20.21,cell101,placebo
0,5.81,cell101,placebo
1,6.58,cell101,placebo
2,9.28,cell101,placebo
3,10.71,cell101,placebo
4,13.67,cell101,placebo
5,13.48,cell101,placebo
6,15.2,cell101,placebo
7,17.65,cell101,placebo
8,19.01,cell101,placebo
9,19.93,cell101,placebo
10,24.47,cell101,placebo
0,8.97,cell101,treatment
1,11.62,cell101,treatment
2,14.87,cell101,treatment
3,15.47,cell101,treatment
4,17.29,cell101,treatment
5,20.78,cell101,treatment
6,22.3,cell101,treatment
7,24.37,cell101,treatment
8,27.44,cell101,treatment
9,30.74,cell101,treatment
10,33.96,cell101,treatment
0,11.49,cell101,treatment
1,15.01,cell101,treatment
2,17.88,cell101,treatment
3,20.17,cell101,treatment
4,26.22,cell101,treatment
5,31.77,cell101,treatment
6,34.43,cell101,treatment
7,36.66,cell101,treatment
8,39.26,cell101,treatment
9,44.18,cell101,treatment
10,48.96,cell101,treatment
